Locus	wtA	wtB	wtC								
AT1G08290	1	1	0								
AT1G08300	1	9	3								
AT1G08310	24	53	18								
AT1G08315	1029	1862	1028								
AT1G08320	123	379	204								
AT1G08340	508	938	854								
AT1G08350	516	1180	488								
AT1G08360	21044	27575	17143								
AT1G08370	2759	4252	2554								
AT1G08380	17678	44532	19802								
AT1G08390	52	138	39								
AT1G08400	57	156	109								
AT1G08410	299	717	571								
AT1G08420	134	265	306								
AT1G08430	0	4	0								
AT1G08440	0	0	0								
AT1G08450	346	637	450								
AT1G08460	201	697	300								
AT1G08465	61	74	59								
AT1G08470	67	157	95								
AT1G08480	1254	3216	1823								
AT1G08490	366	1076	631								
AT1G08500	3051	2382	1652								
AT1G08510	2022	3887	2225								
AT1G08520	1584	5262	2077								
AT1G08530	299	822	412								
AT1G08540	2823	5839	2324								
AT1G08550	564	1757	903								
AT1G08560	109	276	147								
AT1G08570	1457	1504	1295								
AT1G08580	1046	1362	1162								
AT1G08590	319	390	509								
AT1G08592	2	8	3								
AT1G08600	121	340	230								
AT1G08610	66	172	89								
AT1G08620	184	546	309								
AT1G08630	843	1136	495								
AT1G08640	2260	3985	2464								
AT1G08650	569	448	594								
AT1G08660	94	404	168								
AT1G08670	243	598	278								
AT1G08680	1264	2840	1860								
AT1G08695	0	0	0								
AT1G08700	438	1334	849								
AT1G08710	452	855	519								
AT1G08720	176	553	240								
AT1G08730	6	24	9								
AT1G08735	0	0	0								
AT1G08740	0	0	0								
AT1G08750	338	574	283								
AT1G08760	570	475	299								
AT1G08770	1911	2155	2140								
AT1G08780	1388	3052	1685								
AT1G08790	0	0	0								
AT1G08800	675	1007	481								
AT1G08810	58	88	50								
AT1G08820	1220	3947	1878								
AT1G08830	1159	2683	1786								
AT1G08840	12	83	33								
AT1G08845	34	149	121								
AT1G08860	0	0	0								
AT1G08870	0	0	0								
AT1G08880	4022	8065	5180								
AT1G08890	447	520	350								
AT1G08900	129	317	217								
AT1G08910	55	124	62								
AT1G08920	297	451	258								
